"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Info not available","Info not available","0","74","","74","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.7%","50.7%","0.4%","8.3%","0.4%","5.5%","48.0%","","","","","","","","Merritt, BC V1K 1B8","","2","","1","Terri Stockwell","Separate Resident and Family Councils","English","","17 May 2016","Gillis House","No","Outside Contractor","0.33","2.88","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","12.2","9","0.1","0.0","0","0.2","0.0","0","1.6","2.7","2","1.6","1.4","1","","Info not available","1981","Interior Health","Yes","(250) 378-3271","(250) 378-3252","","Monitoring","Hospital Act and Community Care and Assisted Living Act","2","52","7"," ","No","No","No","1699 Tutill Court","3.21","Yes (no fee)"
"Exemplary","Yes (Jun 2018)","0","102","","102","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.9%","61.9%","3.4%","9.8%","8.1%","19.1%","24.5%","","","","","","","","Courtenay, BC V9N 8B5","","7","","5","Executive Director","Separate Resident and Family","English, French, Tagalog, Farsi, Spanish, German","","15 Nov 2016","Glacier View Lodge","Primarily","Operator","Info not available","Info not available","Vancouver Island","1.0","2.9","3","1.5","0.0","0","0.7","1.0","1","11.9","9.8","10","0.1","0.0","0","0.2","0.0","0","1.6","2.0","2","1.6","0.0","0","","Regular Schedule","1982","Glacier View Lodge Society","No","(250) 338-1451","(250) 338-1421 ext 225","","Routine","Community Care and Assisted Living Act","0","102","0","Clothing labelling fee","No","Yes","No","2450 Back Road","3.11","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","135","","135","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","30.0%","52.9%","57.5%","2.2%","38.9%","5.7%","21.9%","","","","","","","","Victoria, BC V8S 1G7","Info not available","","Info not available","","Shelley Gurvey","Family only","English, German, Farsi, French, Tagalog, Punjabi, Spanish, Mandarin, Korean","08 Sep 2016","","Glengarry Hospital","Yes","Outside Contractor","0.36","2.86","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","3","Regular Schedule","1965","Vancouver Island Health","Yes","(250) 370-5736","(250) 370-5736","Routine","","Hospital Act","34","10","18"," ","No","No","No","1780 Fairfield Rd.","3.22","Yes (fee charged)"
"Commendation","Yes (Sep 2017)","29","101","","130","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.7%","64.1%","Info not available","0.5%","18.4%","2.1%","21.4%","","","","","","","","Victoria, BC V8T 1B3","Info not available","","Info not available","","Director of Care","Separate Resident and Family","English, French, Afrikaans, Punjabi, Burmese, Tagalog, Polish, Portuguese, Spanish","22 Nov 2016","","Glenwarren Private Hospital","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","0","Regular Schedule","1967","Revera Long Term Care Inc.","Yes","(250) 383-2323","(250) 383-2323x225","Routine","","Hospital Act","11","46","20"," ","No","Yes","No","1230 Balmoral Rd","3.11","Yes (no fee)"
"Accredited","Yes (Jun 2019)","8","29","","37","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","36.2%","46.2%","Info not available","Info not available","50.8%","Info not available","4.3%","","","","","","","","Agassiz, BC V0M 1A0","","1","","0","Team Leader / Director of Care","Separate Resident and Family","English, German, Dutch, Punjabi, Hindi, Tagalog, Japanese","","09 Sep 2016","Glenwood Care Centre","Yes","Operator","0.30","2.52","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Leyen Holdings Ltd","Yes","(604) 796-9202","(604) 796-9202","","Routine","Community Care and Assisted Living Act","0","37","0"," ","No","No","No","1458 Glenwood Dr","2.82","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","111","","111","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","28.1%","47.1%","41.8%","Info not available","49.1%","9.5%","24.5%","","","","","","","","Victoria, BC V9A 1L2","Info not available","","Info not available","","Manager","Separate Resident and Family","Filipino, French, English, Mandarin","18 Apr 2016","","Gorge Road Hospital","Yes","Outside Contractor","0.32","2.85","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Regular Schedule","1953","Vancouver Island Health","No","Arbutus View: (250) 519-3510 / Water View: (250) 519-3514","(250) 519-3501","Follow-up","","Hospital Act","27","11","4"," ","No","No","No","63 Gorge Road East","3.17","Yes (no fee)"
"Pending","Scheduled Jun 2017","0","51","","51","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.1%","47.8%","Info not available","1.6%","Info not available","9.8%","30.9%","","","","","","","","Salt Spring Island, BC V8K 1Z9","","13","","4","Paul Oliphant, Executive Director","Family Council and Advisory Council","Info not available","","23 Nov 2016","Greenwoods Eldercare Society","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","2.0","1","1.5","3.9","2","0.7","0.0","0","11.9","7.8","4","0.1","0.0","0","0.2","2.0","1","1.6","0.0","0","1.6","0.0","0","","Regular schedule","1979","Greenwoods Elder Care Society","Info not available","(250) 537-5561","(250) 537-5561 ext. 222","","Follow-up","Community Care and Assisted Living Act","0","51","0"," ","No","Yes","No","133 Blain Road","3.12","Yes (no cost)"
"Accredited","Yes (2018)","38","82","","120","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.1%","48.6%","Info not available","2.2%","85.3%","20.6%","18.1%","","","","","","","","Surrey, BC V3R 1R3","","0","","0","General Manager and Director of Care","Separate Resident and Family","Hindi, Punjabi, English, Korean, Spanish, Tagalog","","21 Jul 2016","Guildford Seniors","Yes","Operator","0.30","2.40","Fraser Health","1.0","0.0","0","1.5","3.3","4","0.7","0.8","1","11.9","10.0","12","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Retirement Concepts","Yes","(604) 582-0808","(604) 582-0808","","Routine","Community Care and Assisted Living Act","0","98","0"," ","No","Yes","No","14568 104a Ave.","2.70","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","80","","80","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.4%","29.2%","Info not available","Info not available","Info not available","13.1%","29.8%","","","","","","","","Grand Forks, BC V0H 1H0","","0","","0","Resident Care Coordinator / Manager","Separate Resident and Family","Russian, French, English, Filipino, Punjabi","","20 Oct 2016","Hardy View Lodge","Primarily","Operator","0.34","2.97","Interior Health","1.0","2.5","2","1.5","0.0","0","0.7","1.3","1","11.9","2.5","2","0.1","0.0","0","0.2","0.0","0","1.6","1.3","1","1.6","2.5","2","","Regular Schedule","1982","Interior Health","Yes","(250) 443-2100","(250) 443-2128","","Monitoring","Community Care and Assisted Living Act","0","78","2"," ","No","Yes","No","7649 22nd St.","3.31","Yes (no fee)"
"Exemplary","Yes (2017)","0","55","25","80","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","1.9%","51.5%","Info not available","Info not available","5.5%","Info not available","25.0%","","","","","","","","22.7%","36.5%","1.3%","11.5%","74.7%","23.3%","32.0%","Burnaby, BC V5E 3R7","","1","","0","General Manager / Director of Care","Family only","English, French, Thai, Greek, Cantonese, Persian, Mandarin, Hindi, Spanish, Italian, Vietnamese, Hungarian, Tagalog, Punjabi, Farsi, Patwah","","27 May 2016","Harmony Court Care Centre","Yes","Outside Contractor","0.29","2.32","Fraser Health","1.0","1.8","1","1.5","9.1","5","0.7","0.0","0","11.9","41.8","23","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","5.5","3","","Regular Schedule","Info not available","Age Care Investment Ltd.","Yes","(604) 525-9444","(604) 527-3300","","Follow-up","Community Care and Assisted Living Act","0","57","24"," ","No","No","No","7195 Canada Way","2.61","Yes (no fee)"
"Commendation","Yes (Feb 2019)","0","154","","154","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","36.8%","50.1%","1.9%","4.7%","52.0%","6.9%","35.7%","","","","","","","","Vancouver, BC V6E 3Y5","","3","","1","Executive Director","Resident only","English and other European and Asian languages","","09 Jun 2016","Haro Park Centre","Yes","Operator","0.19","2.46","Vancouver Coastal","1.0","1.3","2","1.5","0.0","0","0.7","0.0","0","11.9","14.9","23","0.1","0.0","0","0.2","0.0","0","1.6","2.6","4","1.6","0.0","0","","Regular Schedule","1980","Haro Park Centre Society","Yes","(604) 687-5584","(604) 687-5584 ext 224","","Routine","Community Care and Assisted Living Act","0","154","0"," ","No","No","Yes","1233 Haro Street","2.65","Yes (no fee)"
"Exemplary","Yes (Oct 2019)","4","148","","152","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.9%","38.6%","0.2%","12.0%","23.4%","16.1%","38.6%","","","","","","","","Penticton, BC V2A 4E9","","17","","5","General Manager","Separate Resident and Family","English, Punjabi","","18 Apr 2016","Haven Hill","Yes","Operator","0.35","2.80","Interior Health","1.0","1.3","2","1.5","1.3","2","0.7","0.7","1","11.9","5.9","9","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.3","2","","Regular Schedule","1992","A.C.M.C.J. Holdings Ltd","Yes","(250) 492-2600","(250) 492-2600","","Monitoring","Community Care and Assisted Living Act","0","152","0"," ","No","Yes","N/A","415 Haven Hill Road","3.15","Yes (no fee)"
"Accredited","Yes (Nov 2018)","0","131","","131","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.3%","43.0%","Info not available","0.4%","26.5%","1.0%","23.1%","","","","","","","","Port Coquitlam, BC V3C 1W3","","0","","0","Director, Resident Services","Separate Resident and Family","English, Punjabi, Tagalog, Mandarin, Cantonese, Korean, Russian, Urdu, Romanian, Polish, French, Farsi, Arabic, German","","31 Aug 2016","Hawthorne Seniors Care Community","Yes","Operator","0.30","2.86","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.6","10","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.5","2","","Regular Schedule","Info not available","Port Coquitlam Senior Citizens' Housing Society","Yes","(604) 941-4051","(604) 468-5023","","Routine","Hospital Act","0","73","29"," ","No","Yes","No","2111 Hawthorne Ave","3.16","Yes (no fee)"
"Pass","Yes (Sep 2019)","0","28","","28","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","52.9%","51.9%","Info not available","1.2%","16.0%","14.0%","16.7%","","","","","","","","Golden, BC V0A 1H0","","6","","3","Residential Care Co-ordinator","Combined Resident and Family","English","","10 May 2016","Henry Durand Manor","Yes","Operator","0.33","2.83","Interior Health","1.0","10.7","3","1.5","0.0","0","0.7","3.6","1","11.9","21.4","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Interior Health","Yes","(250) 344-3006","(250) 344-3006","","Monitoring","Community Care and Assisted Living Act","0","28","0"," ","No","Yes","No","803 9th St South","3.16","Yes (no fee)"
"Commendation","Yes (Nov 2017)","0","50","","50","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","45.2%","61.7%","15.5%","18.5%","12.7%","7.1%","39.7%","","","","","","","","Vernon, BC V1T 4X7","","1","","1","Regional Manager","Combined Resident and Family Council","English, Filipino, Russian, Japanese, French","","30 Apr 2015","Heritage Square","Yes","Contractor","0.35","2.80","Interior Health","1.0","0.0","0","1.5","2.0","1","0.7","2.0","1","11.9","22.0","11","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","10.0","5","","Regular Schedule","2004","Kaigo Retirement Communities Ltd.","Yes","(250) 545-2060","(250) 545-2060 ext 108","","Monitoring","Community Care andAssisted Living Act","0","50","0"," ","No","No","No","3904 27th St.","3.15","Yes (no fee)"
"Accredited","Yes (Nov 2018)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.8%","56.6%","1.5%","3.3%","62.1%","14.5%","17.2%","","","","","","","","Chilliwack, BC V2R 3C9","","0","","0","Manager – Kim Norman","Combined Resident and Family Council","English, Punjabi","","15 Jul 2016","Heritage Village","Yes","Outside Contractor","0.21","3.10","Fraser Health","1.0","1.0","1","1.5","0.0","0","0.7","2.0","2","11.9","12.0","12","0.1","0.0","0","0.2","0.0","0","1.6","1.0","1","1.6","3.0","3","","Regular Schedule","1993","Fraser Health","Yes","(604) 795-7131","(604) 793-7131","","Follow-up","Hospital Act","3","64","12"," ","No","No","No","7525 Topaz Dr","3.31","Yes (no fee)"
"Commendation","Yes (Oct 2019)","0","76","","76","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","40.4%","64.4%","5.9%","9.1%","13.4%","15.9%","24.5%","","","","","","","","Vernon, BC V1T 9W3","","0","","0","Site Manager","Separate Resident and Family","English, Punjabi, Croatian, German, Filipino","","04 Dec 2015","Heron Grove","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","27.6","21","0.1","0.0","0","0.2","0.0","0","1.6","1.3","1","1.6","1.3","1","","Regular Schedule","2007","The Good Samaritan Society","Yes","(250) 542-6101","(250) 542-6101 ext 32222","","Monitoring","Community Care and Assisted Living Act","0","76","0"," ","No","No","No","4904 - 20th Street","3.15","Yes (no fee)"
"Commendation","Yes (Oct 2019)","0","112","","112","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","38.9%","53.1%","6.7%","0.9%","11.8%","14.1%","20.2%","","","","","","","","Salmon Arm, BC V1E 2B8","","0","","0","Site Manager","Separate and Combined Resident and Family Councils","French, Russian, German, Ukrainian, Filipino, Polish","","24 Oct 2016","Hillside Village","Yes","Operator","0.35","2.80","Interior Health","1.0","3.6","4","1.5","1.8","2","0.7","1.8","2","11.9","24.1","27","0.1","0.9","1","0.2","0.0","0","1.6","6.3","7","1.6","5.4","6","","Regular Schedule","2005","The Good Samaritan Society","Yes","(250) 833-5877","(250) 833-5877","","Monitoring","Community Care and Assisted Living Act","0","112","0"," ","No","No","No","2891 15 Ave NE","3.15","Yes (no fee)"
"Accredited","Yes (Sep 2016)","0","86","","86","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","22.2%","50.8%","3.8%","18.1%","20.6%","17.2%","16.4%","","","","","","","","Squamish, BC V8B 0C8","","4","","3","Manager","Separate Resident and Family","English, French, Dutch, Russian, Portuguese, Squamish Nation, Punjabi, Tagalog, Kenyan, Japanese, Hungarian, Iranian, Spanish, German, Arabic, Danish","","23 Sep 2016","Hilltop House","Yes","Operator","0.21","2.88","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","5.1","4","0.1","1.3","1","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1984","Vancouver Coastal Health","Yes","(604) 892-9337","(604) 892-6020","","Routine","Community Care and Assisted Living Act","0","82","2"," ","No","Yes","No","38146 Behrner Drive","3.09","Yes (no fee)"
"Commendation","Yes (May 2018)","20","154","","174","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.5%","43.4%","0.2%","58.8%","88.6%","19.4%","16.9%","","","","","","","","Surrey, BC V3R 5J3","","1","","0","Site Leader","Separate Resident and Family","English, Tagalog, Punjabi, Hindi","","10 Mar 2016","Hilton Villa","Yes","Operator","0.30","2.32","Fraser Health","1.0","0.0","0","1.5","0.6","1","0.7","1.1","2","11.9","16.1","28","0.1","0.0","0","0.2","0.0","0","1.6","1.1","2","1.6","0.0","0","","Regular Schedule","Info not available","Park Place Seniors Living Inc.","Yes","(604) 588-3424","(604) 588-3424 ext 109","","Routine","Community Care and Assisted Living Act","0","83","36"," ","No","No","No","13525 Hilton Rd","2.61","Yes (no fee)"
"Exemplary","Yes (Nov 2017)","0","142","","142","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.9%","43.4%","70.0%","70.5%","47.4%","7.9%","17.8%","","","","","","","","Vancouver, BC V5P 3L6","","Info not available","","Info not available","Operations Leader","Combined Resident and Family Councils","English, Punjabi, Hindi, Cantonese, Italian, Mandarin, Czech, Polish, Tagalog, French, Greek, Spanish, Dutch, German, Croatian","","26 Jan 2016","Holy Family Hospital","Yes","Outside Contractor","0.26","2.94","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","4.2","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.7","1","","Regular Schedule","1980","Providence Health Care Society","Yes","(604) 321-2661","(604) 322-2650","","Routine","Hospital Act","21","9","6"," ","No","Yes","No","7801 Argyle St","3.20","Yes ( no fee)"
"Commendation","Yes (2017)","0","123","","123","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.5%","46.7%","Info not available","0.2%","63.9%","0.7%","15.6%","","","","","","","","Maple Ridge, BC V2X 3E6","","0","","0","Executive Director","Family only","Info not available","","10 Aug 2015","Holyrood Manor","Yes","Outside Contractor","0.35","2.78","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","12.2","15","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Revera Long Term Care","Yes","(604) 467-8831","(604) 467-8831 ext 222","","Routine","Hospital Act","Info not available","Info not available","Info not available"," ","No","No","No","22710 Holyrood Ave","3.12","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","6","","6","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.7%","85.0%","Info not available","8.3%","21.7%","Info not available","Info not available","","","","","","","","Houston, BC V0J 1Z0","","Info not available","","Info not available","Site Coordinator","No Councils","English, Punjabi","","29 Apr 2015","Houston Health Centre","No","Operator","Info not available","5.53","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","N/A","2010","Northern Health","Yes","(250) 845-2294","(250) 845-5950","","Routine","Community Care and Assisted Living Act","0","6","0"," ","Yes","Yes","No","3202 - 14 St","5.53","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","230","","230","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.7%","52.4%","Info not available","5.1%","14.6%","7.7%","31.5%","","","","","","","","West Vancouver, BC V7T 1X5","","1","","0","Administrator","Separate Resident and Family","English, Tagalog, Ilocano, Farsi, Cantonese","","28 Jul 2016","Inglewood Care Centre","Yes","Operator","0.23","2.55","Vancouver Coastal","1.0","0.0","0","1.5","5.2","12","0.7","0.9","2","11.9","30.9","71","0.1","0.4","1","0.2","0.0","0","1.6","3.0","7","1.6","4.3","10","","Regular Schedule","1963","Unicare","Yes","(604) 922-9394","(604) 913-4703","","Routine","Hospital Act and Community Care and Assisted Living Act","0","196","17","Clothing labelling fee","No","No","No","725 Inglewood Avenue","2.78","Yes (no fee)"
"N/A","No","1","87","","88","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.8%","46.9%","1.1%","7.1%","40.6%","33.8%","31.3%","","","","","","","","Aldergrove, BC V4W 3L9","","0","","0","Executive Director","Combined Resident and Family Councils","English, Tagalog, Punjabi, German, Spanish","","29 Feb 2016","Jackman Manor","Yes","Contractor","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","1.1","1","11.9","15.7","14","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","3.4","3","","Regular Schedule","1982","Aldergrove Lions Seniors Housing Society","Yes","(604) 856-4161 ext 24","(604) 856-4161 ext 224","","Routine","Community Care and Assisted Living Act","0","88","0","Hair salon, podiatry, pharmacy, specialized services","No","No","No","27477 28 Ave","2.79","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","22","","22","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.8%","46.9%","1.1%","7.1%","40.6%","33.8%","31.3%","","","","","","","","Ashcroft, BC V0K 1A0","","0","","0","Resident Care Coordinator","Combined Resident and Family Councils","French, English, Spanish","","29 Feb 2016","Jackson House Long Term Care","Yes","Operator","0.41","2.96","Interior Health","1.0","0.0","1","1.5","0.0","0","0.7","0.0","1","11.9","4.5","14","0.1","0.0","0","0.2","4.5","0","1.6","0.0","0","1.6","0.0","3","","Regular Schedule","1979","Interior Health","Yes","(250) 453-2211","(250) 453-1902","","Routine","Hospital Act","1","20","1"," ","N/A","N/A","N/A","700 Elm St. Box 488","3.37","Yes (no fee)"
